PERIODO;MES;INDICE;VAR_MES;VAR_DIC;VAR_12;PROM_12
1984;ENERO; 1.38 ; 1.74 ; 1.74 ; 7.05 ; 5.57 
1984;FEBRERO; 1.42 ; 2.81 ; 4.60 ; 11.18 ; 6.01 
1984;MARZO; 1.44 ; 1.23 ; 5.89 ; 11.92 ; 6.52 
1984;ABRIL; 1.46 ; 1.57 ; 7.55 ; 14.88 ; 7.36 
1984;MAYO; 1.48 ; 1.20 ; 8.84 ; 15.22 ; 8.26 
1984;JUNIO; 1.54 ; 4.31 ; 13.52 ; 19.62 ; 9.49 
1984;JULIO; 1.56 ; 1.29 ; 14.99 ; 20.74 ; 10.80 
1984;AGOSTO; 1.57 ; 0.46 ; 15.51 ; 20.13 ; 12.01 
1984;SEPTIEMBRE; 1.64 ; 4.69 ; 20.93 ; 24.82 ; 13.65 
1984;OCTUBRE; 1.68 ; 2.34 ; 23.76 ; 26.31 ; 15.40 
1984;NOVIEMBRE; 1.73 ; 3.17 ; 27.68 ; 29.48 ; 17.37 
1984;DICIEMBRE; 1.88 ; 8.58 ; 38.64 ; 38.64 ; 20.15 
1985;ENERO; 2.02 ;7.23;7.23;46.12;23.51
1985;FEBRERO; 2.14 ;6.08;13.75;50.77;26.94
1985;MARZO; 2.17 ;1.68;15.67;51.44;30.34
1985;ABRIL; 2.20 ;1.05;16.88;50.67;33.39
1985;MAYO; 2.26 ;2.66;19.99;52.85;36.56
1985;JUNIO; 2.28 ;1.2;21.43;48.3;38.96
1985;JULIO; 2.31 ;1.12;22.79;48.05;41.18
1985;AGOSTO; 2.31 ;0.13;22.95;47.56;43.37
1985;SEPTIEMBRE; 2.35 ;1.85;25.23;43.56;44.78
1985;OCTUBRE; 2.37 ;0.63;26.01;41.15;45.81
1985;NOVIEMBRE; 2.40 ;1.35;27.71;38.67;46.33
1985;DICIEMBRE; 2.46 ;2.46;30.85;30.85;45.34
1986;ENERO; 2.47 ;0.39;0.39;22.5;42.91
1986;FEBRERO; 2.44 ;-1.19;-0.81;14.1;39.29
1986;MARZO; 2.41 ;-1.26;-2.06;10.8;35.48
1986;ABRIL; 2.40 ;-0.29;-2.34;9.33;31.8
1986;MAYO; 2.38 ;-0.79;-3.11;5.66;27.77
1986;JUNIO; 2.39 ;0.11;-3.01;4.52;24.11
1986;JULIO; 2.40 ;0.61;-2.41;3.99;20.6
1986;AGOSTO; 2.40 ;0.17;-2.25;4.03;17.33
1986;SEPTIEMBRE; 2.47 ;2.59;0.28;4.79;14.47
1986;OCTUBRE; 2.50 ;1.52;1.81;5.72;11.95
1986;NOVIEMBRE; 2.52 ;0.48;2.29;4.81;9.57
1986;DICIEMBRE; 2.57 ;2.06;4.4;4.4;7.64
1987;ENERO; 2.55 ;-0.7;-0.7;3.27;6.17
1987;FEBRERO; 2.56 ;0.46;-0.24;5;5.46
1987;MARZO; 2.59 ;1;0.76;7.4;5.22
1987;ABRIL; 2.63 ;1.76;2.53;9.61;5.27
1987;MAYO; 2.67 ;1.41;3.97;12.03;5.8
1987;JUNIO; 2.76 ;3.46;7.57;15.78;6.73
1987;JULIO; 2.81 ;1.9;9.61;17.27;7.83
1987;AGOSTO; 2.82 ;0.17;9.8;17.27;8.92
1987;SEPTIEMBRE; 2.86 ;1.39;11.33;15.9;9.85
1987;OCTUBRE; 2.91 ;1.79;13.32;16.2;10.73
1987;NOVIEMBRE; 3.01 ;3.38;17.15;19.56;11.98
1987;DICIEMBRE; 3.15 ;4.71;22.67;22.67;13.55
1988;ENERO; 3.27 ;3.86;3.86;28.31;15.69
1988;FEBRERO; 3.36 ;2.71;6.68;31.19;17.92
